Entity,Code,Year,Adult modal age at death - Sex: females,Adult modal age at death - Sex: males
Canada,CAN,1970,84.5,78.1
Canada,CAN,1971,84.8,78.4
Canada,CAN,1972,85,77.4
Canada,CAN,1973,84.9,76.9
Canada,CAN,1974,85.2,78.2
Canada,CAN,1975,85.1,78.4
Canada,CAN,1976,86,77.8
Canada,CAN,1977,85.8,78.5
Canada,CAN,1978,86.2,79.3
Canada,CAN,1979,86.4,79.7
Canada,CAN,1980,86.1,79.3
Canada,CAN,1981,86.3,79.9
Canada,CAN,1982,86.1,79.3
Canada,CAN,1983,86.2,79.8
Canada,CAN,1984,87.1,79.9
Canada,CAN,1985,87,79.6
Canada,CAN,1986,86.6,80.1
Canada,CAN,1987,87.2,80.3
Canada,CAN,1988,87.1,80.7
Canada,CAN,1989,87.3,81.3
Canada,CAN,1990,87.3,81.6
Canada,CAN,1991,87.8,82.1
Canada,CAN,1992,87.9,81.8
Canada,CAN,1993,87.3,82.6
Canada,CAN,1994,87.5,82.3
Canada,CAN,1995,87.5,82.3
Canada,CAN,1996,87.9,82.8
Canada,CAN,1997,87.9,82.7
Canada,CAN,1998,88.2,82.9
Canada,CAN,1999,88.3,83.4
Canada,CAN,2000,88.2,83.3
Canada,CAN,2001,88.5,83.9
Canada,CAN,2002,88.5,84.5
Canada,CAN,2003,89,84.9
Canada,CAN,2004,89.2,84.8
Canada,CAN,2005,89.3,85.1
Canada,CAN,2006,89.8,85.9
Canada,CAN,2007,89.5,86
Canada,CAN,2008,89.7,86
Canada,CAN,2009,90,86.4
Canada,CAN,2010,90.4,85.9
Canada,CAN,2011,90.4,86.6
Canada,CAN,2012,90.4,87.1
Canada,CAN,2013,90.8,87.3
Canada,CAN,2014,90.5,87.8
Canada,CAN,2015,90.9,87.7
Canada,CAN,2016,91.1,88.2
Canada,CAN,2017,91.1,88.1
Canada,CAN,2018,91,88.3
Canada,CAN,2019,91.3,88.5
Canada,CAN,2020,91,88.2
Finland,FIN,1970,80.6,73.9
Finland,FIN,1971,80.3,73.3
Finland,FIN,1972,81.1,75.5
Finland,FIN,1973,81.4,74.2
Finland,FIN,1974,81.6,73.8
Finland,FIN,1975,82.2,75.6
Finland,FIN,1976,82.1,75.3
Finland,FIN,1977,82.8,76.1
Finland,FIN,1978,83,75
Finland,FIN,1979,83.2,75.2
Finland,FIN,1980,83.6,76.1
Finland,FIN,1981,83.7,76.6
Finland,FIN,1982,83.9,76.7
Finland,FIN,1983,83.8,78
Finland,FIN,1984,84,77.3
Finland,FIN,1985,83.9,77.1
Finland,FIN,1986,84.3,77.4
Finland,FIN,1987,84.6,77.6
Finland,FIN,1988,84.4,77.7
Finland,FIN,1989,84.6,79
Finland,FIN,1990,85,79.3
Finland,FIN,1991,84.9,78.1
Finland,FIN,1992,85.2,78.6
Finland,FIN,1993,85.2,79.7
Finland,FIN,1994,85.9,80.2
Finland,FIN,1995,85.7,80.2
Finland,FIN,1996,86.3,79.9
Finland,FIN,1997,86.5,81.6
Finland,FIN,1998,86.7,81.3
Finland,FIN,1999,86.6,81.6
Finland,FIN,2000,87.1,81.9
Finland,FIN,2001,87.2,82
Finland,FIN,2002,87.3,82.4
Finland,FIN,2003,87.5,83.1
Finland,FIN,2004,88.1,83.1
Finland,FIN,2005,88.5,83.1
Finland,FIN,2006,88.6,83.8
Finland,FIN,2007,88.8,83.2
Finland,FIN,2008,88.9,85.9
Finland,FIN,2009,89,85.1
Finland,FIN,2010,89.1,84.3
Finland,FIN,2011,89.5,85.5
Finland,FIN,2012,89.4,85.7
Finland,FIN,2013,89.7,86.1
Finland,FIN,2014,89.7,86.7
Finland,FIN,2015,89.7,86.5
Finland,FIN,2016,89.8,86.6
Finland,FIN,2017,90.1,86.8
